ID,E (GPa),sy1,sy (GPa),n,hm (um),nu,base2,ref,refi,localstringt2D,Wp/Wt,C (GPa),dP/dh (N/m)
196,200.94,1.7915,7.16,0.05,0.25,0.1,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=200.94 sy=7.16 n=0.05 nu=0.1 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=196,,,
197,122.03,1.8229,5.2,0.05,0.35,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=122.03 sy=5.2 n=0.05 nu=0.1 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=197,,,
198,100.81,1.9697,4.37,0.05,0.45,0.1,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=100.81 sy=4.37 n=0.05 nu=0.1 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=198,,,
199,145.74,5.298,52.98,0.05,0.1,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=145.74 sy=52.98 n=0.05 nu=0.2 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=199,,,
200,10,0.03,0.1,0.17,0.3,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.1 n=0.17 nu=0.2 hm=0.3 base=2D_r0_05 prefix=200,,,
201,10,0.03,0.07,0.17,0.4,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.07 n=0.17 nu=0.2 hm=0.4 base=2D_r0_05b prefix=201,,,
202,10,0.03,0.06,0.17,0.5,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.06 n=0.17 nu=0.2 hm=0.5 base=2D_r0_05b prefix=202,,,
203,10,0.03,0.05,0.17,0.6,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.05 n=0.17 nu=0.2 hm=0.6 base=2D_r0_05 prefix=203,,,
204,10,0.1,0.14,0.17,0.7,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.14 n=0.17 nu=0.2 hm=0.7 base=2D_r0_10 prefix=204,,,
205,10,0.1,0.5,0.17,0.2,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.5 n=0.17 nu=0.2 hm=0.2 base=2D_r0_10b prefix=205,,,
206,10,0.1,0.66,0.17,0.15,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.17 nu=0.2 hm=0.15 base=2D_r0_10b prefix=206,,,
207,10,0.1,0.4,0.17,0.25,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.4 n=0.17 nu=0.2 hm=0.25 base=2D_r0_10 prefix=207,,,
208,10,0.3,0.85,0.17,0.35,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.85 n=0.17 nu=0.2 hm=0.35 base=2D_r0_20 prefix=208,,,
209,10,0.3,0.66,0.17,0.45,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=0.66 n=0.17 nu=0.2 hm=0.45 base=2D_r0_20b prefix=209,,,
210,10,0.3,3,0.17,0.1,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=3 n=0.17 nu=0.2 hm=0.1 base=2D_r0_20b prefix=210,,,
211,10,0.3,1,0.17,0.3,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=10 sy=1 n=0.17 nu=0.2 hm=0.3 base=2D_r0_20 prefix=211,,,
212,50,0.2,0.5,0.17,0.4,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.5 n=0.17 nu=0.2 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=212,,,
213,50,0.2,0.4,0.17,0.5,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.4 n=0.17 nu=0.2 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=213,,,
214,50,0.2,0.33,0.17,0.6,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.33 n=0.17 nu=0.2 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=214,,,
215,50,0.2,0.28,0.17,0.7,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=0.28 n=0.17 nu=0.2 hm=0.7 base=2D_r0_00b contact_penalty=1e4 prefix=215,,,
216,50,0.6,3,0.17,0.2,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3 n=0.17 nu=0.2 hm=0.2 base=2D_r0_05b prefix=216,,,
217,50,0.6,4,0.17,0.15,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=4 n=0.17 nu=0.2 hm=0.15 base=2D_r0_05b prefix=217,,,
218,50,0.6,2.4,0.17,0.25,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.4 n=0.17 nu=0.2 hm=0.25 base=2D_r0_05b prefix=218,,,
219,50,0.6,1.71,0.17,0.35,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=1.71 n=0.17 nu=0.2 hm=0.35 base=2D_r0_05b prefix=219,,,
220,50,1,2.22,0.17,0.45,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.22 n=0.17 nu=0.2 hm=0.45 base=2D_r0_10b prefix=220,,,
221,50,1,10,0.17,0.1,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=10 n=0.17 nu=0.2 hm=0.1 base=2D_r0_10b prefix=221,,,
222,50,1,3.33,0.17,0.3,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.17 nu=0.2 hm=0.3 base=2D_r0_10b prefix=222,,,
223,50,1,2.5,0.17,0.4,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.5 n=0.17 nu=0.2 hm=0.4 base=2D_r0_10b prefix=223,,,
224,50,2,4,0.17,0.5,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=4 n=0.17 nu=0.2 hm=0.5 base=2D_r0_20b prefix=224,,,
225,50,2,3.33,0.17,0.6,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=3.33 n=0.17 nu=0.2 hm=0.6 base=2D_r0_20b prefix=225,,,
226,50,2,2.85,0.17,0.7,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=2.85 n=0.17 nu=0.2 hm=0.7 base=2D_r0_20b prefix=226,,,
227,50,2,10,0.17,0.2,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=50 sy=10 n=0.17 nu=0.2 hm=0.2 base=2D_r0_20b prefix=227,,,
228,90,0.5,3.33,0.17,0.15,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.33 n=0.17 nu=0.2 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=228,,,
229,90,0.5,2,0.17,0.25,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=2 n=0.17 nu=0.2 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=229,,,
230,90,0.5,1.42,0.17,0.35,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=1.42 n=0.17 nu=0.2 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=230,,,
231,90,0.5,1.11,0.17,0.45,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=1.11 n=0.17 nu=0.2 hm=0.45 base=2D_r0_00b contact_penalty=1e4 prefix=231,,,
232,90,1.5,15,0.17,0.1,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=15 n=0.17 nu=0.2 hm=0.1 base=2D_r0_05 prefix=232,,,
233,90,1.5,5,0.17,0.3,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.17 nu=0.2 hm=0.3 base=2D_r0_05 prefix=233,,,
234,90,1.5,3.75,0.17,0.4,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3.75 n=0.17 nu=0.2 hm=0.4 base=2D_r0_05b prefix=234,,,
235,90,1.5,3,0.17,0.5,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=3 n=0.17 nu=0.2 hm=0.5 base=2D_r0_05b prefix=235,,,
236,90,3,5,0.17,0.6,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=5 n=0.17 nu=0.2 hm=0.6 base=2D_r0_10 prefix=236,,,
237,90,3,4.28,0.17,0.7,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=4.28 n=0.17 nu=0.2 hm=0.7 base=2D_r0_10 prefix=237,,,
238,90,3,15,0.17,0.2,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=15 n=0.17 nu=0.2 hm=0.2 base=2D_r0_10b prefix=238,,,
239,90,3,20,0.17,0.15,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=90 sy=20 n=0.17 nu=0.2 hm=0.15 base=2D_r0_10b prefix=239,,,
240,130,1,4,0.17,0.25,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4 n=0.17 nu=0.2 hm=0.25 base=2D_r0_20 prefix=240,,,
241,130,1,2.85,0.17,0.35,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.85 n=0.17 nu=0.2 hm=0.35 base=2D_r0_20 prefix=241,,,
242,130,1,2.22,0.17,0.45,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=2.22 n=0.17 nu=0.2 hm=0.45 base=2D_r0_20b prefix=242,,,
243,130,1,10,0.17,0.1,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=10 n=0.17 nu=0.2 hm=0.1 base=2D_r0_20b prefix=243,,,
244,130,2,6.66,0.17,0.3,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=6.66 n=0.17 nu=0.2 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=244,,,
245,130,2,5,0.17,0.4,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=5 n=0.17 nu=0.2 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=245,,,
246,130,2,4,0.17,0.5,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4 n=0.17 nu=0.2 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=246,,,
247,130,2,3.33,0.17,0.6,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=3.33 n=0.17 nu=0.2 hm=0.6 base=2D_r0_00b contact_penalty=1e4 prefix=247,,,
248,130,3,4.28,0.17,0.7,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=4.28 n=0.17 nu=0.2 hm=0.7 base=2D_r0_05b prefix=248,,,
249,130,3,15,0.17,0.2,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=15 n=0.17 nu=0.2 hm=0.2 base=2D_r0_05b prefix=249,,,
250,130,3,20,0.17,0.15,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=20 n=0.17 nu=0.2 hm=0.15 base=2D_r0_05b prefix=250,,,
251,130,3,12,0.17,0.25,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=130 sy=12 n=0.17 nu=0.2 hm=0.25 base=2D_r0_05b prefix=251,,,
252,170,0.3,0.85,0.17,0.35,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.85 n=0.17 nu=0.2 hm=0.35 base=2D_r0_10b prefix=252,,,
253,170,0.3,0.66,0.17,0.45,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=0.66 n=0.17 nu=0.2 hm=0.45 base=2D_r0_10b prefix=253,,,
254,170,0.3,3,0.17,0.1,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.17 nu=0.2 hm=0.1 base=2D_r0_10b prefix=254,,,
255,170,0.3,1,0.17,0.3,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=1 n=0.17 nu=0.2 hm=0.3 base=2D_r0_10b prefix=255,,,
256,170,1.5,3.75,0.17,0.4,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3.75 n=0.17 nu=0.2 hm=0.4 base=2D_r0_20b prefix=256,,,
257,170,1.5,3,0.17,0.5,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=3 n=0.17 nu=0.2 hm=0.5 base=2D_r0_20b prefix=257,,,
258,170,1.5,2.5,0.17,0.6,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=2.5 n=0.17 nu=0.2 hm=0.6 base=2D_r0_20b prefix=258,,,
259,170,1.5,2.14,0.17,0.7,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=2.14 n=0.17 nu=0.2 hm=0.7 base=2D_r0_20b prefix=259,,,
260,170,3,15,0.17,0.2,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=15 n=0.17 nu=0.2 hm=0.2 base=2D_r0_00 contact_penalty=1e4 prefix=260,,,
261,170,3,20,0.17,0.15,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=20 n=0.17 nu=0.2 hm=0.15 base=2D_r0_00 contact_penalty=1e4 prefix=261,,,
262,170,3,12,0.17,0.25,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=12 n=0.17 nu=0.2 hm=0.25 base=2D_r0_00 contact_penalty=1e4 prefix=262,,,
263,170,3,8.57,0.17,0.35,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=170 sy=8.57 n=0.17 nu=0.2 hm=0.35 base=2D_r0_00b contact_penalty=1e4 prefix=263,,,
264,210,0.3,0.66,0.17,0.45,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.66 n=0.17 nu=0.2 hm=0.45 base=2D_r0_05 prefix=264,,,
265,210,0.3,3,0.17,0.1,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.17 nu=0.2 hm=0.1 base=2D_r0_05 prefix=265,,,
266,210,0.3,1,0.17,0.3,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=1 n=0.17 nu=0.2 hm=0.3 base=2D_r0_05 prefix=266,,,
267,210,0.3,0.75,0.17,0.4,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=0.75 n=0.17 nu=0.2 hm=0.4 base=2D_r0_05b prefix=267,,,
268,210,1.8,3.6,0.17,0.5,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3.6 n=0.17 nu=0.2 hm=0.5 base=2D_r0_10 prefix=268,,,
269,210,1.8,3,0.17,0.6,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=3 n=0.17 nu=0.2 hm=0.6 base=2D_r0_10 prefix=269,,,
270,210,1.8,2.57,0.17,0.7,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=2.57 n=0.17 nu=0.2 hm=0.7 base=2D_r0_10 prefix=270,,,
271,210,1.8,9,0.17,0.2,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=9 n=0.17 nu=0.2 hm=0.2 base=2D_r0_10b prefix=271,,,
272,210,3,20,0.17,0.15,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=20 n=0.17 nu=0.2 hm=0.15 base=2D_r0_20 prefix=272,,,
273,210,3,12,0.17,0.25,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=12 n=0.17 nu=0.2 hm=0.25 base=2D_r0_20 prefix=273,,,
274,210,3,8.57,0.17,0.35,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=8.57 n=0.17 nu=0.2 hm=0.35 base=2D_r0_20 prefix=274,,,
275,210,3,6.66,0.17,0.45,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=210 sy=6.66 n=0.17 nu=0.2 hm=0.45 base=2D_r0_20b prefix=275,,,
276,24.518,0.036792082,0.36,0.17,0.1,0.2,2D_r0_00,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=24.518 sy=0.36 n=0.17 nu=0.2 hm=0.1 base=2D_r0_00 contact_penalty=1e4 prefix=276,,,
277,158.652,0.314353259,1.04,0.17,0.3,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=158.652 sy=1.04 n=0.17 nu=0.2 hm=0.3 base=2D_r0_00b contact_penalty=1e4 prefix=277,,,
278,23.138,0.08110304,0.2,0.17,0.4,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=23.138 sy=0.2 n=0.17 nu=0.2 hm=0.4 base=2D_r0_00b contact_penalty=1e4 prefix=278,,,
279,177.128,0.77102177,1.54,0.17,0.5,0.2,2D_r0_00b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=177.128 sy=1.54 n=0.17 nu=0.2 hm=0.5 base=2D_r0_00b contact_penalty=1e4 prefix=279,,,
280,73.432,0.561384659,0.93,0.17,0.6,0.2,2D_r0_05,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=73.432 sy=0.93 n=0.17 nu=0.2 hm=0.6 base=2D_r0_05 prefix=280,,,
281,83.518,0.698605786,0.99,0.17,0.7,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=83.518 sy=0.99 n=0.17 nu=0.2 hm=0.7 base=2D_r0_05b prefix=281,,,
282,161.724,1.4218142,7.1,0.17,0.2,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=161.724 sy=7.1 n=0.17 nu=0.2 hm=0.2 base=2D_r0_05b prefix=282,,,
283,200.938,1.791465339,11.94,0.17,0.15,0.2,2D_r0_05b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=200.938 sy=11.94 n=0.17 nu=0.2 hm=0.15 base=2D_r0_05b prefix=283,,,
284,125.17298,1.46212455,5.84,0.17,0.25,0.2,2D_r0_10,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=125.17298 sy=5.84 n=0.17 nu=0.2 hm=0.25 base=2D_r0_10 prefix=284,,,
285,168.884,2.388292291,6.82,0.17,0.35,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=168.884 sy=6.82 n=0.17 nu=0.2 hm=0.35 base=2D_r0_10b prefix=285,,,
286,122.034,1.8229105,4.05,0.17,0.45,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=122.034 sy=4.05 n=0.17 nu=0.2 hm=0.45 base=2D_r0_10b prefix=286,,,
287,33.366,0.551258765,5.51,0.17,0.1,0.2,2D_r0_10b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=33.366 sy=5.51 n=0.17 nu=0.2 hm=0.1 base=2D_r0_10b prefix=287,,,
288,76.098,1.273039936,4.24,0.17,0.3,0.2,2D_r0_20,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=76.098 sy=4.24 n=0.17 nu=0.2 hm=0.3 base=2D_r0_20 prefix=288,,,
289,100.806,1.969671916,4.92,0.17,0.4,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=100.806 sy=4.92 n=0.17 nu=0.2 hm=0.4 base=2D_r0_20b prefix=289,,,
290,74.168,1.504071357,3,0.17,0.5,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=74.168 sy=3 n=0.17 nu=0.2 hm=0.5 base=2D_r0_20b prefix=290,,,
291,185.734,4.697898647,7.82,0.17,0.6,0.2,2D_r0_20b,1,0,mpiexec -n 4 ~/projects/moose/modules/combined/combined-opt -i ind_2D_l.i --input-params ref=1 refi=0 E=185.734 sy=7.82 n=0.17 nu=0.2 hm=0.6 base=2D_r0_20b prefix=291,,,
